0,1,2,3
tt4213806,Toro,"5,9",2016
tt4213832,Quatretondeta,"5,3",2016
tt4218240,El destello de la luna,"6,8",2018
tt4218538,Girl Flu.,"6,4",2016
tt4216902,Arès,"6,2",2016
tt4217446,Agonie,"5,8",2016
tt4216890,Baden Baden,"6,5",2016
tt4219864,Indigo Children,NO DATA,2016
tt4221828,Jim Brown's Amer-I-Can Dream,NO DATA,2016
tt4225732,I Am You Are Everyone,"8,4",2016
tt4225478,Delinquent,"5,8",2016
tt4228810,Au nom de ma fille,"7,0",2016
tt4231594,Su Saek,"5,2",2016
tt4230700,Complete Unknown,"5,4",2016
tt4238982,Set Me Free: Vol. I,"6,2",2016
tt4240406,Lída Baarová,"5,9",2016
tt4241706,J plus C,NO DATA,2016
tt4242100,My Father Die,"5,5",2017
tt4245622,The Reins Maker,NO DATA,2016
tt4248052,Love Twice,"6,7",2016
tt4250566,Nebel im August,"7,3",2021
tt4248632,A Million Miles Away,NO DATA,2016
tt4250438,11:55,"5,0",2017
tt4253116,Wo lai zi Niu Yue,"7,1",2016
tt4254584,Kicks,"6,4",2016
tt4254562,The People Garden,"4,8",2016
tt4257926,Miracles from Heaven,"7,1",2016
tt4259112,To Be a Man,NO DATA,2016
tt4258698,Southside with You,"6,3",2016
tt4261772,Rated ATL,NO DATA,2016
tt4261942,Exiled,"6,5",2016
tt4258248,Buried State,NO DATA,2016
tt4262516,Sanam Re,"3,2",2016
tt4266772,Senses,NO DATA,2016
tt4262174,First Girl I Loved,"6,2",2016
tt4265444,The Motion of the Sun,NO DATA,2016
tt4262980,Shin Gojira,"6,8",2016
tt4268722,Out of Love,"6,2",2016
tt4271910,"Tout, tout de suite","6,4",2016
tt4273944,Naya Pakistan,NO DATA,2016
tt4273292,Under the Shadow,"6,8",2016
tt4272776,Scene Queen,"5,4",2018
tt4273562,Yu-Gi-Oh!: The Dark Side of Dimensions,"6,9",2016
tt4276942,It's Her Time to Fly,NO DATA,2016
tt4280822,Fight Valley,"2,7",2016
tt4276820,The Founder,"7,2",2017
tt4277526,Demi,"6,6",2016
tt4277264,Ma révolution,"5,3",2016
tt4288518,Nikdy nejsme sami,"5,7",2016
tt4283448,Wonder Woman,"6,5",2016
tt4291166,Lonely in Few Minutes of Silence,"4,2",2016
tt4291116,My First Highway,"5,8",2018
tt4287114,Peace Haven,"6,4",2016
tt4287344,72 Hours: A Brooklyn Love Story?,"7,0",2016
tt4291584,Lotus Eyes,"5,0",2016
tt4291600,Lady Macbeth,"6,8",2017
tt4301034,A Orillas del Mar,"8,6",2016
tt4295602,The Business of Amateurs,"7,4",2016
tt4295322,Io sono nulla,"5,6",2016
tt4299862,Closer to Home,"5,2",2016
tt4300480,Veloce come il vento,"7,2",2016
tt4299828,Backseat Fighter,"6,8",2016
tt4301230,An Intimate Dance: Journeys Through Movement and Touch,NO DATA,2016
tt4303202,American Wrestler: The Wizard,"7,1",2017
tt4303340,I Am Not a Serial Killer,"6,2",2016
tt4305148,Lovesong,"6,3",2017
tt4310688,No Light and No Land Anywhere,"5,5",2018
tt4312730,Azhagu Kutti Chellam,"7,7",2016
tt4317384,Saturday in the Park,NO DATA,2016
tt4314874,Racconto calabrese,"7,1",2016
tt4317320,Underdoges,"5,9",2016
tt4319634,A Taste of Revenge,NO DATA,2016
tt4321804,Mängelexemplar,"5,9",2016
tt4325356,Aponi,"6,4",2016
tt4322180,L'età d'oro,"5,5",2016
tt4322714,Arama Moturu,"5,1",2016
tt4323572,Finding Sofia,"5,6",2016
tt4327510,Retake,"6,7",2016
tt4326444,Julieta,"7,1",2016
tt4327752,Lady Bloodfight,"5,6",2016
tt4328812,Raison D'etre,NO DATA,2016
tt4328186,Leste Oeste,"6,2",2019
tt4329398,First Shoot the Lawyers,"8,5",2016
tt4332800,We Got Lucky,"8,1",2016
tt4331970,Quand on a 17 ans,"7,2",2016
tt4331776,The Lockpicker,"6,7",2016
tt4332342,Durch die Nacht,"8,1",2016
tt4335680,An American Dream: The Education of William Bowman,"5,4",2016
tt4335804,La mujer del animal,"7,1",2016
tt4335664,Weiße Steine,NO DATA,2016
tt4338138,Those Left Behind,"6,6",2017
tt4343130,Uptake Fear,"6,8",2016
tt4341582,Queen of Katwe,"7,4",2016
tt4346324,Bad Start,"7,1",2016
tt4345612,Granada y al Paraíso,"7,9",2016
tt4346182,Parallel,"5,6",2016
tt4350998,Free State,"6,7",2016
tt4351624,La grande rabbia,"5,4",2016
